id;nombres;apellidos;correo;nro_celular;fechacontrato;salario;comision_porcentaje
1;towards likewise the;bob fly;perfection wearily;ride yum;2025-11-01T03:32:20;24209;29332
2;rotten however;even lender;gee anti likewise;delete before;2025-11-01T12:42:50;22348;25465
3;provided;oxidize helplessly yowza;although;malfunction weary refine;2025-11-01T12:01:24;19173;18662
4;even;frankly formal interestingly;staid reproachfully management;but dearest round;2025-11-01T15:09:39;20490;20464
5;or once emotional;likewise gah duh;sleepily astride awesome;fortunately;2025-11-01T07:29:20;1070;13404
6;once unbearably;live sarong;incidentally;regarding uh-huh lest;2025-11-01T15:09:57;20461;5432
7;numb dredger considering;lest sarong;so furthermore;because briefly;2025-11-01T19:44:36;15029;9462
8;amidst oof;which;swim regarding describe;stir-fry woot;2025-11-01T17:18:57;22241;341
9;properly;convection;officially aside concerning;excluding zowie fooey;2025-10-31T23:07:33;19156;8963
10;mid;hmph impartial;round alongside off;gallivant pertinent;2025-11-01T17:57:01;10920;7680
